Town,sq_mtrs,Bedrooms,Bathrooms,Price
Athi River,3.0,3.0,2.0,35000.0
Athi River,3.0,3.0,2.0,40000.0
Athi River,2.0,2.0,2.0,28000.0
Athi River,3.0,3.0,2.0,40000.0
Athi River,1.0,1.0,1.0,17000.0
Athi River,3.0,3.0,2.0,35000.0
Athi River,3.0,3.0,4.0,45000.0
Athi River,3.0,3.0,3.0,45000.0
Athi River,3.0,3.0,3.0,45000.0
Athi River,105.0,3.0,2.0,33000.0
Athi River,2.0,2.0,2.0,28000.0
Athi River,3.0,3.0,2.0,30000.0
Athi River,3.0,3.0,2.0,30000.0
Athi River,2.0,2.0,2.0,28000.0
Athi River,3.0,3.0,2.0,35000.0
Athi River,105.0,3.0,2.0,33000.0
Athi River,3.0,3.0,3.0,45000.0
Athi River,1.0,1.0,1.0,17000.0
Athi River,3.0,3.0,3.0,45000.0
Athi River,3.0,3.0,2.0,35000.0
Athi River,3.0,3.0,2.0,35000.0
Athi River,3.0,3.0,3.0,35000.0
Athi River,3.0,3.0,3.0,35000.0
Athi River,3.0,3.0,2.0,35000.0
Athi River,2.0,2.0,2.0,28000.0
Athi River,3.0,3.0,4.0,45000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,1.0,1.0,1.0,40000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,128.0,3.0,3.0,75000.0
Dagoretti,120.0,2.0,2.0,75000.0
Dagoretti,111.0,3.0,3.0,75000.0
Dagoretti,94.0,2.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,180000.0
Dagoretti,3.0,3.0,4.0,110000.0
Dagoretti,3.0,3.0,3.0,98000.0
Dagoretti,3.0,3.0,3.0,98000.0
Dagoretti,3.0,3.0,4.0,98000.0
Dagoretti,3.0,3.0,3.0,98000.0
Dagoretti,150.0,3.0,3.0,98000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,5.0,90000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,4.0,4.0,5.0,90000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,150.0,2.0,2.0,90000.0
Dagoretti,1.0,1.0,1.0,90000.0
Dagoretti,2.0,2.0,3.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,3.0,3.0,4.0,75000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,2.0,2.0,3.0,75000.0
Dagoretti,4.0,4.0,3.0,75000.0
Dagoretti,4.0,4.0,2.0,96000.0
Dagoretti,2.0,2.0,3.0,75000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,70.0,1.0,1.0,75000.0
Dagoretti,3.0,3.0,4.0,90000.0
Dagoretti,2.0,2.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,1.0,1.0,1.0,55000.0
Dagoretti,3.0,3.0,2.0,75000.0
Dagoretti,115.0,3.0,2.0,75000.0
Dagoretti,3.0,3.0,3.0,75000.0
Dagoretti,2.0,2.0,2.0,40000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,180.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,4.0,4.0,4.0,95000.0
Dagoretti,149.0,2.0,2.0,95000.0
Dagoretti,156.0,3.0,3.0,95000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,4.0,4.0,4.0,90000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,4.0,90000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,1.0,1.0,1.0,90000.0
Dagoretti,150.0,2.0,2.0,90000.0
Dagoretti,4.0,4.0,5.0,90000.0
Dagoretti,220.0,3.0,3.0,90000.0
Dagoretti,2.0,2.0,2.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,108.0,2.0,2.0,95000.0
Dagoretti,95.0,2.0,2.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,4.0,4.0,5.0,90000.0
Dagoretti,300.0,3.0,4.0,100000.0
